NAME,TM,POS,G,⬇M,AJP48,WP48,WP,POP48,PTS,REB,AST
Patrick Patterson,"SAC, TOR",4.0,65,1533,0.295,0.106,3.4,0.2,17.4,10.7,2.4
Patrick Mills,SAS,1.0,81,1527,0.26,0.179,5.7,2.5,26.0,5.3,4.7
E'Twaun Moore,ORL,1.0,79,1506,0.148,0.067,2.1,-1.0,15.9,4.3,3.6
Evan Fournier,"ORL, DEN",3.0,76,1503,0.076,-0.006,-0.2,-3.3,20.4,6.5,3.6
Michael Kidd-Gilchrist,CHA,3.0,62,1502,0.262,0.18,5.6,2.5,14.3,10.4,1.7
Jordan Hill,LAL,4.2,72,1500,0.39,0.2,6.3,3.1,22.3,17.1,1.7
Steve Blake,"LAL, GSW",1.2,55,1498,0.208,0.127,4.0,0.9,12.1,5.1,9.8
Shelvin Mack,ATL,1.3,73,1490,0.169,0.088,2.7,-0.4,17.5,5.2,8.7
Mike Scott,ATL,4.0,80,1482,0.177,-0.009,-0.3,-3.4,24.8,9.2,2.4
Ersan Ilyasova,MIL,3.8,55,1478,0.169,0.003,0.1,-3.0,20.1,11.1,2.3
J.J. Barea,MIN,1.0,79,1471,0.036,-0.045,-1.4,-4.5,21.5,5.0,9.9
Shane Battier,MIA,3.0,73,1468,0.191,0.11,3.4,0.3,9.7,4.5,2.1
Amare Stoudemire,NYK,4.0,65,1466,0.263,0.074,2.2,-0.8,25.3,10.5,1.1
Louis Williams,ATL,2.0,60,1445,0.166,0.084,2.5,-0.5,20.8,4.1,7.0
Derek Fisher,OKC,1.0,81,1428,0.169,0.088,2.6,-0.3,14.3,4.1,3.9
Anthony Morrow,NOR,3.0,76,1426,0.148,0.066,2.0,-1.0,21.4,4.7,2.0
Caron Butler,"MIL, OKC",3.0,56,1419,0.137,0.055,1.6,-1.4,19.9,7.7,2.8
Gerald Wallace,BOS,3.1,58,1416,0.26,0.167,4.9,2.1,10.1,7.2,4.8
Eric Bledsoe,PHO,2.0,43,1416,0.262,0.18,5.3,2.5,25.9,6.8,8.0
Cody Zeller,CHA,4.8,82,1416,0.242,0.052,1.5,-1.5,16.6,12.0,3.1
Elton Brand,ATL,5.0,73,1414,0.317,0.127,3.7,0.9,14.2,12.3,2.5
Russell Westbrook,OKC,1.0,46,1412,0.265,0.184,5.4,2.7,34.1,8.9,10.8
Kelly Olynyk,BOS,5.0,70,1400,0.249,0.059,1.7,-1.2,20.8,12.5,3.7
Luis Scola,IND,4.0,82,1399,0.196,0.006,0.2,-2.9,21.5,13.4,2.8
Mirza Teletovic,BRK,3.0,72,1396,0.211,0.129,3.8,0.9,21.4,9.1,2.0
Chris Andersen,MIA,5.0,72,1396,0.446,0.257,7.5,4.9,16.4,13.0,0.7
Kris Humphries,BOS,5.0,69,1376,0.369,0.179,5.1,2.5,20.2,14.3,2.3
Nick Collison,OKC,4.9,81,1353,0.303,0.113,3.2,0.4,12.0,10.4,3.7
Kosta Koufos,MEM,5.0,80,1349,0.318,0.128,3.6,0.9,18.3,14.9,1.4
O.J. Mayo,MIL,1.9,52,1346,0.034,-0.048,-1.3,-4.6,21.7,4.4,4.0
Austin Rivers,NOR,1.5,69,1339,0.055,-0.026,-0.7,-3.9,19.0,4.6,5.7
Zaza Pachulia,MIL,5.0,53,1325,0.274,0.084,2.3,-0.5,14.8,12.1,4.9
Ryan Kelly,LAL,5.0,59,1312,0.192,0.002,0.1,-3.0,17.3,8.0,3.5
Nate Wolters,MIL,1.0,58,1309,0.173,0.092,2.5,-0.2,15.3,5.5,6.9
Anthony Tolliver,CHA,4.0,64,1298,0.249,0.059,1.6,-1.2,14.5,6.2,1.6
Omri Casspi,HOU,3.0,71,1283,0.208,0.126,3.4,0.8,18.3,9.7,3.3
Pablo Prigioni,NYK,1.2,66,1283,0.319,0.238,6.3,4.3,9.4,4.8,8.5
Tony Allen,MEM,2.0,55,1278,0.251,0.169,4.5,2.2,18.6,7.8,3.5
Mason Plumlee,BRK,4.7,70,1275,0.4,0.211,5.6,3.5,19.6,11.6,2.3
Tiago Splitter,SAS,5.0,59,1271,0.365,0.176,4.6,2.4,18.2,13.7,3.4
Matthew Dellavedova,CLE,1.0,72,1271,0.192,0.111,2.9,0.4,12.8,4.6,7.1
Andrea Bargnani,NYK,5.0,42,1257,0.158,-0.032,-0.8,-4.1,21.3,8.5,1.7
Jae Crowder,DAL,4.0,78,1254,0.236,0.05,1.3,-1.5,13.6,7.4,2.3
Ian Mahinmi,IND,5.0,77,1248,0.294,0.104,2.7,0.2,10.5,9.9,0.9
Tony Snell,CHI,2.0,77,1231,0.132,0.05,1.3,-1.5,13.5,4.8,2.7
DeJuan Blair,DAL,5.0,78,1214,0.314,0.124,3.1,0.8,19.7,14.6,2.8
