0,1,2,3,4,5,6,7,8
,,Production,Production,Production,On Court/Off Court,On Court/Off Court,On Court/Off Court,Roland
Player,Min,Own,Opp,Net,On,Off,Net,Rating
Wafer,2%,-1.0,15.4,-16.5,-10.1,+4.0,-14.1,-15.5
McCoy,1%,2.8,21.6,-18.8,-20.2,+3.9,-24.1,-20.9
,,Production,Production,Production,On Court/Off Court,On Court/Off Court,On Court/Off Court,Roland
Player,Min,Own,Opp,Net,On,Off,Net,Rating
Billups,64%,26.4,13.9,+12.6,+9.9,+2.9,+7.0,+10.3
Dixon,6%,14.3,11.4,+2.9,+17.5,+6.7,+10.8,+6.1
Prince,68%,17.8,13.1,+4.6,+9.1,+3.8,+5.3,+4.9
Johnson,19%,19.5,15.7,+3.9,+11.2,+6.4,+4.8,+4.2
Hamilton,61%,20.6,14.9,+5.7,+7.4,+7.3,+0.2,+3.5
Wallace,59%,19.6,18.0,+1.6,+9.2,+4.7,+4.5,+2.7
Dupree,0%,-13.4,0.0,-13.4,+29.2,+7.4,+21.9,+0.7
Herrmann,5%,16.1,14.9,+1.2,+6.7,+7.4,-0.7,+0.4
Maxiell,45%,18.7,16.1,+2.7,+5.7,+8.8,-3.1,+0.4
Afflalo,25%,11.7,11.9,-0.2,+6.1,+7.8,-1.7,-0.8
Mohammed,6%,14.9,17.7,-2.8,+8.2,+7.3,+0.9,-1.3
Samb,1%,13.1,13.9,-0.9,+4.6,+7.4,-2.8,-1.6
Ratliff,6%,13.2,15.5,-2.3,+5.0,+7.5,-2.5,-2.4
Murray,9%,15.2,14.8,+0.4,+1.2,+8.0,-6.7,-2.4
Stuckey,27%,15.9,16.0,-0.1,+2.3,+9.3,-6.9,-2.8
Hayes,33%,14.9,16.1,-1.2,+3.5,+9.2,-5.7,-3.0
McDyess,58%,16.1,19.9,-3.8,+6.4,+8.6,-2.2,-3.2
Hunter,5%,10.2,13.5,-3.4,+3.8,+7.6,-3.8,-3.5
Brezec,2%,12.0,24.6,-12.6,-1.5,+7.6,-9.1,-11.2
,,Production,Production,Production,On Court/Off Court,On Court/Off Court,On Court/Off Court,Roland
Player,Min,Own,Opp,Net,On,Off,Net,Rating
Davis,81%,22.3,17.9,+4.5,+3.6,-3.8,+7.5,+5.7
Ellis,78%,21.2,16.9,+4.3,+3.3,-1.6,+4.9,+4.6
Biedrins,53%,21.3,20.9,+0.4,+4.8,-0.7,+5.6,+2.5
Jackson,72%,16.9,15.9,+1.0,+3.5,-1.1,+4.6,+2.4
Harrington,55%,17.7,17.9,-0.2,+3.4,+0.7,+2.6,+0.9
Watson,9%,12.2,13.5,-1.3,+1.3,+2.3,-1.0,-1.2
Azubuike,44%,15.2,15.9,-0.7,-0.2,+4.1,-4.3,-2.1
Wright,9%,19.2,18.8,+0.4,-3.5,+2.8,-6.2,-2.2
Pietrus,33%,14.4,18.3,-3.9,+0.9,+2.9,-2.0,-3.1
Croshere,12%,15.0,19.2,-4.2,+0.4,+2.4,-2.0,-3.3
Perovic,1%,11.7,19.4,-7.7,+5.1,+2.2,+2.9,-3.5
Barnes,36%,14.7,21.3,-6.6,+0.1,+3.4,-3.3,-5.3
Webber,3%,12.4,17.0,-4.6,-8.0,+2.5,-10.6,-7.0
Belinelli,6%,9.5,14.5,-5.0,-8.0,+2.9,-10.8,-7.4
Hudson,2%,6.3,16.5,-10.3,-6.2,+2.4,-8.6,-9.6
O'Bryant,3%,15.7,30.1,-14.5,-14.5,+2.6,-17.2,-15.5
Mbenga,3%,7.5,26.1,-18.6,-8.9,+2.6,-11.4,-15.7
,,Production,Production,Production,On Court/Off Court,On Court/Off Court,On Court/Off Court,Roland
Player,Min,Own,Opp,Net,On,Off,Net,Rating
Green,0%,93.3,4.0,+89.3,+40.4,+4.7,+35.7,+67.8
Woods,0%,15.3,6.2,+9.1,+25.6,+4.6,+21.0,+13.9
Jackson,13%,16.8,11.2,+5.6,+14.0,+3.3,+10.7,+7.6
Yao,52%,25.6,14.6,+11.0,+4.5,+4.9,-0.5,+6.4
McGrady,62%,21.2,11.8,+9.3,+5.2,+3.8,+1.4,+6.2
Landry,18%,23.9,15.7,+8.2,+6.5,+4.3,+2.3,+5.8
Snyder,2%,16.4,10.9,+5.5,+4.8,+4.7,+0.1,+3.4
Alston,64%,15.3,16.1,-0.9,+6.3,+1.9,+4.4,+1.2
Battier,74%,13.2,14.9,-1.7,+5.6,+2.1,+3.5,+0.4
Scola,51%,18.3,18.0,+0.3,+4.0,+5.4,-1.4,-0.4
Head,35%,15.6,16.7,-1.1,+4.5,+4.8,-0.2,-0.7
Harris,4%,19.1,20.0,-0.9,+3.9,+4.7,-0.8,-0.8
Wells,28%,16.3,16.0,+0.3,+2.0,+5.7,-3.7,-1.3
Hayes,40%,12.7,16.7,-4.0,+6.3,+3.6,+2.8,-1.3
Mutombo,16%,16.2,18.3,-2.1,+4.0,+4.8,-0.8,-1.5
Francis,5%,10.4,11.4,-1.0,-1.2,+5.0,-6.2,-3.1
Novak,7%,19.7,20.3,-0.6,-4.2,+5.3,-9.5,-4.2
Brooks,15%,14.9,18.6,-3.6,-0.3,+5.6,-5.9,-4.5
James,14%,11.1,15.1,-4.0,-3.2,+5.9,-9.2,-6.1
Jones,0%,7.2,22.4,-15.2,-21.5,+4.7,-26.2,-19.6
Williams,0%,-13.3,54.9,-68.1,-61.3,+4.8,-66.1,-67.3
,,Production,Production,Production,On Court/Off Court,On Court/Off Court,On Court/Off Court,Roland
Player,Min,Own,Opp,Net,On,Off,Net,Rating
Graham,3%,24.7,16.9,+7.9,+3.8,-1.6,+5.3,+6.9
Dunleavy,75%,19.6,15.3,+4.3,+0.6,-7.3,+7.9,+5.7
O'Neal,31%,16.3,15.3,+1.0,-2.0,-1.1,-0.9,+0.3
Daniels,39%,13.3,14.9,-1.6,+0.2,-2.4,+2.6,+0.1
Granger,73%,18.9,16.0,+2.9,-2.5,+1.7,-4.2,+0.1
Foster,48%,17.5,18.0,-0.5,-1.0,-1.7,+0.7,+0.0
Murphy,53%,18.2,19.7,-1.5,-1.4,-1.4,+0.0,-0.9
Diener,34%,13.9,16.0,-2.1,-1.8,-1.2,-0.7,-1.5
Owens,10%,11.3,13.8,-2.6,-1.7,-1.4,-0.4,-1.7
Tinsley,33%,14.6,19.3,-4.7,+0.1,-2.1,+2.2,-1.9
Williams,24%,14.5,17.0,-2.5,-2.4,-1.1,-1.3,-2.0
Diogu,8%,19.4,19.1,+0.3,-8.0,-0.8,-7.2,-2.7
Murray,13%,14.9,19.7,-4.8,-4.3,-1.0,-3.3,-4.2
Rush,38%,11.6,16.9,-5.3,-3.4,-0.1,-3.3,-4.5
Harrison,18%,9.7,21.5,-11.8,-0.5,-1.6,+1.1,-6.6
Sims,0%,1.4,34.8,-33.4,-4.4,-1.4,-3.0,-21.2
,,Production,Production,Production,On Court/Off Court,On Court/Off Court,On Court/Off Court,Roland
Player,Min,Own,Opp,Net,On,Off,Net,Rating
Diaz,0%,11.1,-0.9,+12.0,+10.7,-7.3,+18.0,+14.4
Fazekas,7%,22.2,17.6,+4.5,+2.6,-7.9,+10.5,+6.9
Maggette,63%,21.9,15.9,+5.9,-4.5,-11.9,+7.3,+6.5
Kaman,53%,19.9,17.7,+2.2,-4.3,-10.4,+6.1,+3.8
Frahm,4%,6.6,8.3,-1.7,+1.5,-7.6,+9.1,+2.6
Cassell,25%,19.0,17.2,+1.9,-4.5,-8.1,+3.6,+2.6
Dickau,26%,14.2,19.3,-5.0,-3.1,-8.7,+5.5,-0.8
Mobley,68%,13.1,13.7,-0.5,-7.8,-6.0,-1.8,-1.0
Thomas,49%,14.1,19.5,-5.3,-5.2,-9.1,+3.9,-1.6
Brand,7%,20.1,17.4,+2.7,-17.0,-6.5,-10.5,-2.6
Patterson,8%,12.4,18.7,-6.3,-4.6,-7.5,+2.9,-2.6
Thornton,54%,14.5,16.9,-2.4,-9.0,-5.1,-4.0,-3.0
Knight,42%,13.0,19.6,-6.6,-9.6,-5.5,-4.1,-5.6
Ross,38%,8.7,16.7,-8.0,-10.3,-5.4,-4.9,-6.8
Powell,31%,12.2,21.2,-9.0,-12.5,-4.8,-7.7,-8.5
Williams,8%,11.4,20.9,-9.5,-13.9,-6.6,-7.3,-8.6
Parker,10%,9.0,25.8,-16.8,-7.5,-7.2,-0.3,-10.2
Barrett,1%,13.9,15.6,-1.7,-32.3,-7.1,-25.2,-11.1
Davis,5%,10.2,23.9,-13.7,-20.3,-6.6,-13.7,-13.7
,,Production,Production,Production,On Court/Off Court,On Court/Off Court,On Court/Off Court,Roland
Player,Min,Own,Opp,Net,On,Off,Net,Rating
Bryant,81%,27.4,13.4,+14.0,+8.9,+0.0,+8.9,+12.0
Gasol,23%,26.6,17.3,+9.3,+13.7,+5.3,+8.4,+8.9
Bynum,25%,25.2,14.9,+10.3,+11.3,+5.8,+5.5,+8.4
Karl,2%,18.2,10.3,+7.8,+5.4,+7.3,-1.8,+4.0
Evans,2%,15.1,15.7,-0.6,+15.5,+7.0,+8.5,+3.1
Odom,74%,19.1,16.9,+2.2,+7.9,+5.2,+2.7,+2.4
Farmar,43%,17.5,16.9,+0.6,+7.9,+6.7,+1.2,+0.8
Vujacic,32%,17.1,14.3,+2.8,+5.4,+8.1,-2.7,+0.6
Radmanovic,37%,14.3,19.0,-4.7,+11.5,+4.6,+6.9,-0.1
Turiaf,37%,16.8,16.1,+0.7,+4.4,+8.9,-4.5,-1.4
Walton,44%,14.0,15.8,-1.8,+6.1,+8.1,-2.0,-1.9
Fisher,57%,15.6,18.4,-2.8,+6.9,+7.7,-0.9,-2.0
Mbenga,5%,12.6,19.3,-6.7,+5.6,+7.3,-1.7,-4.7
Ariza,11%,19.1,23.0,-3.9,+0.6,+8.0,-7.5,-5.3
Crittenton,4%,12.6,12.7,-0.1,-11.2,+8.1,-19.3,-7.8
Brown,13%,11.2,16.5,-5.3,-4.4,+8.9,-13.4,-8.5
Newble,1%,11.4,15.5,-4.1,-7.9,+7.3,-15.2,-8.5
Mihm,7%,8.9,20.0,-11.1,-3.6,+8.0,-11.7,-11.3
Cook,2%,1.8,21.8,-20.0,-6.2,+7.5,-13.6,-17.4
,,Production,Production,Production,On Court/Off Court,On Court/Off Court,On Court/Off Court,Roland
